name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2,batting_style,bowling_style
Talat Ali,1df4131e,Talat Ali,Talat Ali,43273,,Right hand Bat,Right arm Medium
GD McGrath,ee7d0c82,GD McGrath,GD McGrath,6565,,Right hand Bat,Right arm Fast medium
Mohammad Asif,e03b66ec,Mohammad Asif,Mohammad Asif,41411,,Left hand Bat,Right arm Fast medium
CK Kapugedera,cfad138c,CK Kapugedera,CK Kapugedera,209457,,Right hand Bat,Right arm Medium
Kamran Akmal,ff077124,Kamran Akmal,Kamran Akmal,41028,,Right hand Bat,
M Ntini,20a941bb,M Ntini,M Ntini,46592,,Right hand Bat,Right arm Fast
MR Singh,5d58ac60,MR Singh,MR Singh,34051,,,
S Vidyut,756389bd,S Vidyut,S Vidyut,35619,,Left hand Bat,Slow Left arm Orthodox
Sohail Tanvir,64d43928,Sohail Tanvir,Sohail Tanvir,43265,,Left hand Bat,Left arm Medium fast
A Chopra,e249fdaa,A Chopra,A Chopra,27639,,Right hand Bat,"Right arm Medium, Right arm Offbreak"
A Flintoff,ddc0828d,A Flintoff,A Flintoff,12856,,Right hand Bat,Right arm Fast medium
SB Bangar,0604ef16,SB Bangar,SB Bangar,27225,,Right hand Bat,Right arm Medium fast
RR Bose,21ac077a,RR Bose,RR Bose,27572,,Right hand Bat,Right arm Fast medium
T Kohli,40caa465,T Kohli,T Kohli,331855,,Right hand Bat,Right arm Medium
GR Napier,611926bc,GR Napier,GR Napier,17991,,Right hand Bat,Right arm Medium
R Bishnoi,4d5a1617,R Bishnoi,R Bishnoi,236766,,Right hand Bat,Right arm Medium fast
FH Edwards,a7c226e1,FH Edwards,FH Edwards,51782,,Right hand Bat,Right arm Fast
TM Srivastava,a76d10ba,TM Srivastava,TM Srivastava,35401,,Left hand Bat,Right arm Medium
MR Benson,790e14d3,MR Benson,MR Benson,9074,,Left hand Bat,Right arm Offbreak
D du Preez,d7a57f75,D du Preez,D du Preez,44938,,Right hand Bat,Right arm Fast medium
W Jaffer,619aa81f,W Jaffer,W Jaffer,29646,,Right hand Bat,Right arm Offbreak
TH Wijewardene,6a6be119,TH Wijewardene,TH Wijewardene,50987,,Left hand Bat,Left arm Medium fast
L Ronchi,0fa5042b,L Ronchi,L Ronchi,7502,,Right hand Bat,
SM Harwood,63bff7f9,SM Harwood,SM Harwood,5605,,Right hand Bat,Right arm Fast medium
MN van Wyk,710dd98c,MN van Wyk,MN van Wyk,47711,,Right hand Bat,Slow Left arm Orthodox
LA Carseldine,d872f52a,LA Carseldine,LA Carseldine,4541,,Left hand Bat,Left arm Medium
AN Ghosh,7023d182,AN Ghosh,AN Ghosh,220435,,Right hand Bat,Right arm Medium
RR Raje,5f4e9e8f,RR Raje,RR Raje,290713,,Right hand Bat,Right arm Fast medium
Shoaib Ahmed,8a668774,Shoaib Ahmed,Shoaib Ahmed,317709,,Right hand Bat,Right arm Fast medium
C Nanda,f24ca2ba,C Nanda,C Nanda,32093,,Right hand Bat,Legbreak
S George,6d9e5a54,S George,S George,45389,,,
Mashrafe Mortaza,e186f49c,Mashrafe Mortaza,Mashrafe Mortaza,56007,,Right hand Bat,Right arm Fast medium
GAV Baxter,cb4b3ab0,GAV Baxter,GAV Baxter,36337,,,
Niraj Patel,a2870fb7,NK Patel,Niraj Patel,32240,,Left hand Bat,
RJ Quiney,23ac69e6,RJ Quiney,RJ Quiney,211854,,Left hand Bat,Right arm Medium
SS Sarkar,caa89a48,SS Sarkar,SS Sarkar,34402,,Right hand Bat,Right arm Medium
SS Shaikh,5f5d3ad4,SS Shaikh,SS Shaikh,377437,,Right hand Bat,Right arm Medium
T Henderson,0a4ebc61,T Henderson,T Henderson,45434,,Right hand Bat,Right arm Fast medium
Yashpal Singh,297b26da,Yashpal Singh,Yashpal Singh,36130,,Right hand Bat,Right arm Medium
EC Hendrikse,3f2996c9,EC Hendrikse,EC Hendrikse,45688,,,
SM Katich,fdedb37c,SM Katich,SM Katich,6128,,Left hand Bat,Left arm Wrist spin
WA Mota,3dba85c2,WA Mota,WA Mota,31041,,Right hand Bat,Right arm Medium
Mohammad Ashraful,2bb09eb2,Mohammad Ashraful,Mohammad Ashraful,55988,,Right hand Bat,"Right arm Offbreak, Legbreak"
RA Shaikh,7c390b03,RA Shaikh,RA Shaikh,279460,,Left hand Bat,Left arm Medium
MW Brown,d83d7796,MW Brown,MW Brown,44397,,,
IL Howell,c1cd91c3,IL Howell,IL Howell,45454,,Left hand Bat,Left arm Medium
KH Hurter,bda8cca8,KH Hurter,KH Hurter,45462,,,
ZTA Ndamane,545cc6db,ZTA Ndamane,ZTA Ndamane,46669,,,
A Uniyal,fdcb08c2,A Uniyal,A Uniyal,35586,,Left hand Bat,Left arm Medium
YA Abdulla,4353bba5,YA Abdulla,YA Abdulla,224367,,Left hand Bat,Left arm Fast medium
RS Gavaskar,9ff100a6,RS Gavaskar,RS Gavaskar,28792,,Left hand Bat,Slow Left arm Orthodox
DR Martyn,69762509,DR Martyn,DR Martyn,6513,,Right hand Bat,Right arm Medium
Yashpal Sharma,e22d7ccb,Yashpal Sharma,Yashpal Sharma,36075,,Right hand Bat,Right arm Medium
C Ganapathy,798934ea,C Ganapathy,C Ganapathy,28764,,Right hand Bat,Right arm Medium
KAJ Roach,78eb4223,KAJ Roach,KAJ Roach,230553,,Right hand Bat,Right arm Fast medium
MB Parmar,86ae8ef2,MB Parmar,MB Parmar,240734,,Right hand Bat,Right arm Offbreak
Jaskaran Singh,d7b3a420,Jaskaran Singh,Jaskaran Singh,376102,,Right hand Bat,Right arm Medium
AA Bilakhia,bff458c6,AA Bilakhia,AA Bilakhia,26946,,Right hand Bat,Right arm Medium
T Thushara,b2ae53f5,T Thushara,T Thushara,49677,,Left hand Bat,Left arm Fast medium
AB Barath,d3a3e82d,AB Barath,AB Barath,274926,,Right hand Bat,Right arm Offbreak
MF Maharoof,ab89348d,MF Maharoof,MF Maharoof,49638,,Right hand Bat,Right arm Fast medium
AP Dole,dbc50253,AP Dole,AP Dole,236694,,Right hand Bat,Right arm Medium fast
ST Jayasuriya,f233bbb4,ST Jayasuriya,ST Jayasuriya,49209,,Left hand Bat,Slow Left arm Orthodox
VM Bandiwadekar,e236db6b,VM Bandiwadekar,VM Bandiwadekar,281112,,,
C Madan,2eeb4370,C Madan,C Madan,31104,,Right hand Bat,
K Sharma,661b0266,K Sharma,K Sharma,30012,,Right hand Bat,Slow Left arm Orthodox
RS Sodhi,a3ecf01f,RS Sodhi,RS Sodhi,34078,,Right hand Bat,Right arm Medium
GR Viswanath,9333bc07,GR Viswanath,GR Viswanath,35712,,Right hand Bat,Legbreak
AC Voges,864c199e,AC Voges,AC Voges,8119,,Right hand Bat,Slow Left arm Orthodox
JM Kemp,6581d753,JM Kemp,JM Kemp,45797,,Right hand Bat,Right arm Fast medium
K Goel,a1f1829d,K Goel,K Goel,28997,,Left hand Bat,Right arm Offbreak
S Tyagi,c24a2c5d,S Tyagi,S Tyagi,317784,,Right hand Bat,Right arm Medium
VRV Singh,034b4b7d,VRV Singh,VRV Singh,35281,,Right hand Bat,Right arm Medium fast
PD Collingwood,a386e91b,PD Collingwood,PD Collingwood,10772,,Right hand Bat,Right arm Medium
WPUJC Vaas,bcce309e,WPUJC Vaas,WPUJC Vaas,50804,,Left hand Bat,Left arm Fast medium
BG Jerling,2.65E+45,BG Jerling,BG Jerling,45726,,,
R Shankar,82f0b62e,R Shankar,R Shankar,277744,,,
SE Bond,4f629497,SE Bond,SE Bond,36326,,Right hand Bat,Right arm Fast
B Sumanth,f4f0fafd,B Sumanth,B Sumanth,253798,,Right hand Bat,Right arm Medium fast
DJ Harper,0ec08b27,DJ Harper,DJ Harper,5578,,Right hand Bat,
A Kumble,0c2730df,A Kumble,A Kumble,30176,,Right hand Bat,Legbreak Googly
Anirudh Singh,7bb62642,Anirudh Singh,Anirudh Singh,26252,,Left hand Bat,Right arm Medium
CRD Fernando,342d8ade,CRD Fernando,CRD Fernando,48835,,Right hand Bat,Right arm Fast medium
ML Hayden,d8699ab7,ML Hayden,ML Hayden,5616,,Left hand Bat,Right arm Medium
SN Bandekar,350528bb,SN Bandekar,SN Bandekar,26846,,,
NJ Rimmington,6042bf26,NJ Rimmington,NJ Rimmington,7443,,Right hand Bat,Right arm Fast medium
SB Styris,57efa3be,SB Styris,SB Styris,38407,,Right hand Bat,Right arm Medium
R Ninan,ce4cc4d5,R Ninan,R Ninan,353669,,Right hand Bat,Right arm Offbreak
S Venkataraghavan,12453319,S Venkataraghavan,S Venkataraghavan,35656,,Right hand Bat,Right arm Offbreak
AG Paunikar,3a02626a,AG Paunikar,AG Paunikar,324444,,Right hand Bat,
SA Asnodkar,ae091d39,SA Asnodkar,SA Asnodkar,26782,,Right hand Bat,Right arm Offbreak
Joginder Sharma,9f961c14,Joginder Sharma,Joginder Sharma,29976,,Right hand Bat,Right arm Fast medium
BJ Haddin,b0c772ee,BJ Haddin,BJ Haddin,5560,,Right hand Bat,
VVS Laxman,de8cce37,VVS Laxman,VVS Laxman,30750,,Right hand Bat,Right arm Offbreak
Kamran Khan,6ef60d3a,Kamran Khan,Kamran Khan,391121,,Left hand Bat,Left arm Medium fast
TD Paine,5748e866,TD Paine,TD Paine,7252,,Right hand Bat,Right arm Medium
AL Hill,4165ced0,AL Hill,AL Hill,37274,,,
B Akhil,af7dadf7,B Akhil,B Akhil,26206,,Right hand Bat,Right arm Medium fast
NL McCullum,5673a3fc,NL McCullum,NL McCullum,37749,,Right hand Bat,Right arm Offbreak
GC Smith,72861603,GC Smith,GC Smith,47270,,Left hand Bat,Right arm Offbreak
JE Taylor,4180d897,JE Taylor,JE Taylor,53191,,Right hand Bat,Right arm Fast
I Malhotra,943fd425,I Malhotra,I Malhotra,31088,,Right hand Bat,Right arm Medium fast
L Ablish,8b9704ae,L Ablish,L Ablish,26236,,Right hand Bat,Right arm Medium fast
Sunny Singh,30e37810,Sunny Singh,Sunny Singh,35282,,Right hand Bat,Right arm Medium fast
S Randiv,f5f18a18,S Randiv,S Randiv,50438,,Right hand Bat,Right arm Offbreak
M Klinger,b970a03f,M Klinger,M Klinger,6161,,Right hand Bat,
SB Wagh,dddca1d6,SB Wagh,SB Wagh,279552,,Left hand Bat,Left arm Medium fast
AA Kazi,16605a1b,AA Kazi,AA Kazi,422106,,Left hand Bat,Slow Left arm Orthodox
AS Raut,c69a7b5c,AS Raut,AS Raut,230593,,Right hand Bat,Legbreak Googly
MV Boucher,f3cb53a1,MV Boucher,MV Boucher,44111,,Right hand Bat,Right arm Medium
MJ Lumb,11df3dc8,MJ Lumb,MJ Lumb,16406,,Left hand Bat,Right arm Medium
AM Salvi,260fd380,AM Salvi,AM Salvi,34264,,Right hand Bat,Right arm Medium
S Sriram,64a4c383,S Sriram,S Sriram,34118,,Left hand Bat,Slow Left arm Orthodox
TR Birt,d2d4bb0a,TR Birt,TR Birt,4292,,Left hand Bat,Right arm Medium
FY Fazal,c15e2193,FY Fazal,FY Fazal,28671,,Left hand Bat,Right arm Medium
ND Doshi,6ec424a9,ND Doshi,ND Doshi,12440,,Right hand Bat,Slow Left arm Orthodox
P Prasanth,ddb00822,P Prasanth,P Prasanth,32211,,Left hand Bat,Slow Left arm Orthodox
S Sohal,3fca55af,S Sohal,S Sohal,228943,,Right hand Bat,Legbreak
CK Langeveldt,d1c94b25,CK Langeveldt,CK Langeveldt,45963,,Right hand Bat,Right arm Fast medium
JJ van der Wath,6821ac10,JJ van der Wath,JJ van der Wath,47693,,Right hand Bat,Right arm Medium fast
SJ Srivastava,2049f3a0,SJ Srivastava,SJ Srivastava,34245,,Right hand Bat,Left arm Fast medium
Y Gnaneswara Rao,bae11797,Y Gnaneswara Rao,Y Gnaneswara Rao,28830,,Right hand Bat,Right arm Medium
A Symonds,bd77eb62,A Symonds,A Symonds,7702,,Right hand Bat,"Right arm Medium, Right arm Offbreak"
PR Shah,0aadc906,PR Shah,PR Shah,34282,,Right hand Bat,
SK Warne,bb18be76,SK Warne,SK Warne,8166,,Right hand Bat,Legbreak Googly
AM Saheba,883e3818,AM Saheba,AM Saheba,34544,,Right hand Bat,
KH Devdhar,62e07f92,KH Devdhar,KH Devdhar,340063,,Right hand Bat,
SL Shastri,53ef012d,SL Shastri,SL Shastri,33977,,Right hand Bat,Slow Left arm Orthodox
A Chaudhary,ffead9c2,A Chaudhary,A Chaudhary,307813,,,
CA Ingram,c995d726,CA Ingram,CA Ingram,45705,,Left hand Bat,Legbreak
JR Hopes,2.50E+166,JR Hopes,JR Hopes,5702,,Right hand Bat,Right arm Medium
MS Wade,afa7e784,MS Wade,MS Wade,230193,,Left hand Bat,Right arm Medium
RB Tiffin,89087a0d,RB Tiffin,RB Tiffin,55795,,Right hand Bat,
SS Mundhe,0af3426f,SS Mundhe,SS Mundhe,279862,,Right hand Bat,Right arm Medium
K Hariharan,2386ccff,K Hariharan,K Hariharan,29271,,,
RE Koertzen,0265fab2,RE Koertzen,RE Koertzen,45830,,,
D Govindjee,8b4c4069,D Govindjee,D Govindjee,45356,,Left hand Bat,Slow Left arm Orthodox
RW Price,67af6f81,RW Price,RW Price,55698,,Right hand Bat,Slow Left arm Orthodox
PR Reiffel,c9354f29,PR Reiffel,PR Reiffel,7326,,Right hand Bat,Right arm Fast medium
VN Kulkarni,0b126008,VN Kulkarni,VN Kulkarni,30302,,,
DAJ Bracewell,2e9fdf9b,DAJ Bracewell,DAJ Bracewell,362541,,Right hand Bat,Right arm Fast medium
RR Bhatkal,7d3720ba,RR Bhatkal,RR Bhatkal,27150,,Right hand Bat,Right arm Medium
Premdip Chatterjee,489fb760,Premdip Chatterjee,Premdip Chatterjee,560278,,,
M Kaif,d84378a4,M Kaif,M Kaif,29990,,Right hand Bat,Right arm Offbreak
DJ Jacobs,a84468fe,DJ Jacobs,DJ Jacobs,45782,,Right hand Bat,Right arm Medium
T Mishra,c9cac448,T Mishra,T Mishra,24790,,Right hand Bat,Right arm Fast medium
BK Ravi,ff8c3cfb,BK Ravi,BK Ravi,30712,,Right hand Bat,Left arm Medium
DE Bollinger,45c2196c,DE Bollinger,DE Bollinger,4508,,Left hand Bat,Left arm Fast medium
CJ McKay,94eac556,CJ McKay,CJ McKay,6903,,Right hand Bat,Right arm Fast medium
SD Ranade,369c85c1,SD Ranade,SD Ranade,33079,,,
AC Blizzard,1efb8a28,AC Blizzard,AC Blizzard,4498,,Left hand Bat,Left arm Medium
S Dua,f1375866,S Dua,S Dua,28115,,,
KMDN Kulasekara,469ea22b,KMDN Kulasekara,KMDN Kulasekara,49535,,Right hand Bat,Right arm Fast medium
IR Jaggi,dded65e7,IR Jaggi,IR Jaggi,279554,,Right hand Bat,Legbreak Googly
RE Levi,18c78b11,RE Levi,RE Levi,46148,,Right hand Bat,Right arm Medium
R Subramanian,7c32b886,R Subramanian,R Subramanian,34132,,,
A Singh,5b040b81,A Singh,A Singh,26789,,Right hand Bat,Right arm Medium fast
DL Vettori,d7c6af50,DL Vettori,DL Vettori,38710,,Left hand Bat,Slow Left arm Orthodox
RJ Peterson,26ff4c29,RJ Peterson,RJ Peterson,46750,,Left hand Bat,Slow Left arm Orthodox
AUK Pathan,3ae3f034,AUK Pathan,AUK Pathan,430401,,Right hand Bat,Right arm Medium
DJ Harris,39f82db3,DJ Harris,DJ Harris,5583,,Right hand Bat,Right arm Medium
RR Powar,5d096f3d,RR Powar,RR Powar,32391,,Right hand Bat,Right arm Offbreak
Pankaj Singh,e32d22f6,Pankaj Singh,Pankaj Singh,32973,,Right hand Bat,Right arm Medium fast
AC Thomas,b552a935,AC Thomas,AC Thomas,47569,,Right hand Bat,Right arm Fast medium
MD Mishra,6afb26d6,MD Mishra,MD Mishra,31028,,Right hand Bat,Right arm Offbreak
Y Nagar,662c47a6,Y Nagar,Y Nagar,317786,,Right hand Bat,Right arm Offbreak
AA Jhunjhunwala,2815fe50,AA Jhunjhunwala,AA Jhunjhunwala,29702,,Right hand Bat,Right arm Offbreak
B Vij,470050ff,B Vij,B Vij,35796,,Right hand Bat,Slow Left arm Orthodox
TP Sudhindra,2f3817ce,TP Sudhindra,TP Sudhindra,34139,,Left hand Bat,Right arm Fast
HH Gibbs,e1d1b294,HH Gibbs,HH Gibbs,45224,,Right hand Bat,Right arm Bowler
N Saini,addbde6c,N Saini,N Saini,274785,,Right hand Bat,
VY Mahesh,93a17209,VY Mahesh,VY Mahesh,31732,,Right hand Bat,Right arm Medium fast
R Risodkar,3de870ce,R Risodkar,R Risodkar,33176,,,
SP Goswami,541f85c9,SP Goswami,SP Goswami,302579,,Left hand Bat,
SD Chitnis,facb9086,SD Chitnis,SD Chitnis,337916,,Right hand Bat,Right arm Offbreak
SK Tarapore,62a824b4,SK Tarapore,SK Tarapore,35314,,Right hand Bat,Legbreak
AP Majumdar,f4cb4f53,AP Majumdar,AP Majumdar,31750,,Right hand Bat,Legbreak Googly
CJ Ferguson,9b4935c8,CJ Ferguson,CJ Ferguson,5236,,Right hand Bat,Right arm Medium
Harpreet Singh,28c78fb3,Harpreet Singh,Harpreet Singh,340854,,Left hand Bat,Right arm Medium
JD Ryder,91ffa6c6,JD Ryder,JD Ryder,38373,,Left hand Bat,Right arm Medium
MJ Clarke,f842c2cf,MJ Clarke,MJ Clarke,4578,,Right hand Bat,Slow Left arm Orthodox
SC Ganguly,725529bc,SC Ganguly,SC Ganguly,28779,,Left hand Bat,Right arm Medium
KP Appanna,d92e42f5,KP Appanna,KP Appanna,269170,,Right hand Bat,Slow Left arm Orthodox
P Parameswaran,0c432afb,P Parameswaran,P Parameswaran,279562,,Right hand Bat,Left arm Medium
V Pratap Singh,d718440b,V Pratap Singh,V Pratap Singh,528967,,Right hand Bat,Right arm Medium
NA Patwardhan,e6ef687d,NA Patwardhan,NA Patwardhan,32213,,Right hand Bat,
JEC Franklin,cf73ad76,JEC Franklin,JEC Franklin,37004,,Left hand Bat,Left arm Medium
Sunny Gupta,ee3dfa89,Sunny Gupta,Sunny Gupta,271315,,Right hand Bat,Right arm Offbreak
BR Doctrove,cbebf805,BR Doctrove,BR Doctrove,51662,,Right hand Bat,
JDP Oram,3eac9d95,JDP Oram,JDP Oram,38062,,Left hand Bat,Right arm Fast medium
AL Menaria,8291f939,AL Menaria,AL Menaria,371150,,Left hand Bat,Slow Left arm Orthodox
MN Samuels,f846de6a,MN Samuels,MN Samuels,52983,,Right hand Bat,Right arm Offbreak
Harmeet Singh (2),0bf15e52,Harmeet Singh,Harmeet Singh (2),422847,,Left hand Bat,Slow Left arm Orthodox
MDKJ Perera,f21043a5,MDKJ Perera,MDKJ Perera,300631,,Left hand Bat,
DT Christian,2a2e6343,DT Christian,DT Christian,4864,,Right hand Bat,Right arm Fast medium
DB Ravi Teja,b720a5d6,DB Ravi Teja,DB Ravi Teja,237701,,Right hand Bat,Legbreak Googly
RJ Harris,12eddf28,RJ Harris,RJ Harris,5779,,Right hand Bat,Right arm Fast
AB McDonald,16043342,AB McDonald,AB McDonald,6553,,Right hand Bat,Right arm Fast medium
AD Mascarenhas,3edb58fc,AD Mascarenhas,AD Mascarenhas,16932,,Right hand Bat,Right arm Fast medium
PC Valthaty,25eeb281,PC Valthaty,PC Valthaty,35630,,Right hand Bat,Right arm Medium
RT Ponting,7d415ea5,RT Ponting,RT Ponting,7133,,Right hand Bat,Right arm Medium
X Thalaivan Sargunam,1763bc6c,X Thalaivan Sargunam,X Thalaivan Sargunam,319744,,Right hand Bat,Right arm Offbreak
TM Dilshan,5bdcdb72,TM Dilshan,TM Dilshan,48472,,Right hand Bat,Right arm Offbreak
DP Nannes,c404f58a,DP Nannes,DP Nannes,6981,,Right hand Bat,Left arm Fast
A Mukund,6165bca6,A Mukund,A Mukund,302582,,Left hand Bat,Legbreak Googly
B Lee,dd09ff8e,B Lee,B Lee,6278,,Right hand Bat,Right arm Fast
Subroto Das,e66066be,Subroto Das,Subroto Das,28318,,Right hand Bat,
TL Suman,aaa1b522,TL Suman,TL Suman,34281,,Right hand Bat,Right arm Offbreak
AS Pathania,bf6c251d,AS Pathania,AS Pathania,32272,,Right hand Bat,Right arm Medium
OA Shah,7bf96684,OA Shah,OA Shah,20123,594438,Right hand Bat,Right arm Offbreak
S Narwal,287686fd,S Narwal,S Narwal,32084,,Left hand Bat,Right arm Medium
BMAJ Mendis,9868bc75,BMAJ Mendis,BMAJ Mendis,49700,,Left hand Bat,Legbreak
B Laughlin,b2a79f17,B Laughlin,B Laughlin,315623,,Right hand Bat,Right arm Fast medium
DC Boon,e79a1fe3,DC Boon,DC Boon,4169,,Right hand Bat,Right arm Offbreak
PA Reddy,2461eef2,PA Reddy,PA Reddy,376109,,Right hand Bat,Legbreak
SW Tait,addfb70e,SW Tait,SW Tait,8076,,Right hand Bat,Right arm Fast
R McLaren,c654af19,R McLaren,R McLaren,46393,,Left hand Bat,Right arm Medium fast
KC Sangakkara,6b71e6cf,KC Sangakkara,KC Sangakkara,50710,,Left hand Bat,Right arm Offbreak
A Chandila,99b202b3,A Chandila,A Chandila,27783,,Right hand Bat,Right arm Offbreak
S Sreesanth,6b8eb6e5,S Sreesanth,S Sreesanth,34274,,Right hand Bat,Right arm Fast medium
K Upadhyay,27e71d47,K Upadhyay,K Upadhyay,431876,,Right hand Bat,Right arm Medium
M Rawat,de8d3876,M Rawat,M Rawat,33440,,Right hand Bat,
UA Birla,91b9300b,UA Birla,UA Birla,262533,,Right hand Bat,Right arm Medium
J Syed Mohammad,c64c2443,J Syed Mohammad,J Syed Mohammad,35261,,Left hand Bat,Slow Left arm Orthodox
BAW Mendis,ea0cdc12,BAW Mendis,BAW Mendis,268739,,Right hand Bat,Right arm Offbreak
A Mithun,66cf56a5,A Mithun,A Mithun,310958,,Right hand Bat,Right arm Medium
Tapan Sharma,b9aa2b6e,Tapan Sharma,Tapan Sharma,390973,,Right hand Bat,Right arm Medium
AB Agarkar,fa463154,AB Agarkar,AB Agarkar,26184,,Right hand Bat,Right arm Fast
BA Bhatt,dc4686e6,BA Bhatt,BA Bhatt,433410,,Left hand Bat,Slow Left arm Orthodox
Harmeet Singh,2a72fd4f,Harmeet Singh,Harmeet Singh,391128,,Right hand Bat,Right arm Medium
LA Pomersbach,b63ab531,LA Pomersbach,LA Pomersbach,232284,,Left hand Bat,Right arm Offbreak
MC Juneja,605b7efa,MC Juneja,MC Juneja,390480,,Right hand Bat,Right arm Offbreak
SR Tendulkar,d2c2b2d5,SR Tendulkar,SR Tendulkar,35320,,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
DB Das,7050a1e7,DB Das,DB Das,328163,,Right hand Bat,Legbreak Googly
PK Khakhar,b7cad41f,PK Khakhar,PK Khakhar,30072,,Right hand Bat,Slow Left arm Orthodox
SMSM Senanayake,4c4fa80b,SMSM Senanayake,SMSM Senanayake,273439,,Right hand Bat,Right arm Offbreak
RE van der Merwe,05c2ca46,RE van der Merwe,RE van der Merwe,47850,,Right hand Bat,Slow Left arm Orthodox
AA Chavan,29d72eb2,AA Chavan,AA Chavan,337913,,Left hand Bat,Slow Left arm Orthodox
KB Arun Karthik,7daedf2f,KB Arun Karthik,KB Arun Karthik,319745,,Right hand Bat,Legbreak Googly
MG Neser,0164b064,MG Neser,MG Neser,376169,,Right hand Bat,Right arm Medium fast
MS Gony,ae78bc32,MS Gony,MS Gony,317293,,Right hand Bat,Right arm Medium
AC Gilchrist,2b6e6dec,AC Gilchrist,AC Gilchrist,5390,,Left hand Bat,Right arm Offbreak
AG Murtaza,ef5da05c,AG Murtaza,AG Murtaza,26490,,Left hand Bat,Slow Left arm Orthodox
B Chipli,5451a2c1,B Chipli,B Chipli,27685,,Right hand Bat,Right arm Medium
BJ Rohrer,27af6414,BJ Rohrer,BJ Rohrer,7547,,Left hand Bat,
DPMD Jayawardene,d18f9182,DPMD Jayawardene,DPMD Jayawardene,49289,,Right hand Bat,Right arm Medium
LJ Wright,cca50cd6,LJ Wright,LJ Wright,23460,,Right hand Bat,Right arm Medium
RV Gomez,b2570b38,RV Gomez,RV Gomez,28846,,Right hand Bat,Right arm Medium
S Das,475e38b6,S Das,S Das,515928,,,
Anand Rajan,d2340a43,Anand Rajan,Anand Rajan,26797,,Right hand Bat,Right arm Medium
Asad Rauf,861606b7,Asad Rauf,Asad Rauf,39219,,Right hand Bat,Right arm Offbreak
P Dogra,2728e7e9,P Dogra,P Dogra,28160,,Right hand Bat,Legbreak
Raju Mukherjee,7a3244b5,Raju Mukherjee,Raju Mukherjee,31727,,Right hand Bat,
S Asnani,b04524bc,S Asnani,S Asnani,26314,,,
MM Patel,f0f628c7,MM Patel,MM Patel,32965,,Right hand Bat,Right arm Medium fast
BB Samantray,53f27a35,BB Samantray,BB Samantray,430125,,Right hand Bat,Right arm Medium
CL White,d0513f63,CL White,CL White,8291,,Right hand Bat,Legbreak Googly
R Dravid,0184dc35,R Dravid,R Dravid,28114,,Right hand Bat,Right arm Offbreak
SK Trivedi,3d7e087f,SK Trivedi,SK Trivedi,35353,,Right hand Bat,Right arm Medium
S Badrinath,3576e47e,S Badrinath,S Badrinath,26806,,Right hand Bat,Right arm Offbreak
SJA Taufel,4b43d5ac,SJA Taufel,SJA Taufel,7918,,,
AV Wankhade,5708d0b6,AV Wankhade,AV Wankhade,505773,,Right hand Bat,Right arm Medium
BF Bowden,efc0a862,BF Bowden,BF Bowden,36339,,,
Aleem Dar,f02778d1,Aleem Dar,Aleem Dar,39157,,Right hand Bat,Legbreak
CA Pujara,d4f9dbd4,CA Pujara,CA Pujara,32540,,Right hand Bat,Legbreak
